date,user,bedtime,in_experimental_group,intended_bedtime,fitness,adherence_importance,rise_reason,risetime
"2015-06-12","10",,True,2015-06-13 00:00:00,62.0,0.0,False,2015-06-12 09:00:00
"2015-06-12","22",,True,2015-06-13 00:00:00,81.0,38.0,False,2015-06-12 09:00:00
"2015-06-12","32",,False,2015-06-13 00:00:00,73.0,12.0,False,2015-06-12 09:30:00
"2015-06-12","12",2015-06-12 23:19:31.019,True,2015-06-13 00:00:00,83.0,25.0,False,2015-06-12 08:45:00
"2015-06-12","9",,False,2015-06-13 00:00:00,52.0,32.0,True,2015-06-12 07:00:00
"2015-06-12","36",,False,2015-06-13 02:00:00,48.0,2.0,False,2015-06-12 08:00:00
"2015-06-12","18",2015-06-12 23:38:09.168,True,2015-06-12 23:30:00,69.0,11.0,False,2015-06-12 06:45:00
"2015-06-12","29",2015-06-13 00:50:33.819,False,2015-06-12 23:20:00,56.0,57.0,False,2015-06-12 06:30:00
"2015-06-12","31",2015-06-13 01:09:51.288,False,2015-06-13 00:30:00,54.0,74.0,True,2015-06-12 09:00:00
"2015-06-13","37",,False,,0.0,0.0,False,
"2015-06-13","29",,False,2015-06-13 23:00:00,81.0,80.0,False,2015-06-13 07:30:00
"2015-06-13","9",,False,2015-06-14 02:00:00,52.0,31.0,True,2015-06-13 07:30:00
"2015-06-13","12",,True,2015-06-14 00:30:00,74.0,24.0,False,2015-06-13 09:30:00
"2015-06-13","18",2015-06-14 00:35:23.254,True,2015-06-13 23:30:00,80.0,8.0,False,2015-06-13 11:35:00
"2015-06-13","31",2015-06-14 00:51:04.615,False,2015-06-14 01:00:00,62.0,33.0,True,2015-06-13 07:45:00
"2015-06-14","36",2015-06-14 15:31:08.201,False,,,,,
"2015-08-10","9999",2015-08-10 16:15:28.644,True,2015-08-10 15:53:00,47.0,54.0,True,2015-08-10 15:52:00
"2015-08-09","9999",,True,2015-08-09 15:57:00,41.0,70.0,True,2015-08-09 15:56:00
"2015-08-05","9999",,True,2015-08-06 05:00:00,58.0,76.0,False,2015-08-05 05:00:00
"2015-08-04","9999",,True,2015-08-05 05:00:00,45.0,38.0,False,2015-08-04 05:00:00
"2015-08-06","9999",2015-08-06 12:19:31.007,True,2015-08-06 14:23:00,71.0,59.0,False,2015-08-06 18:25:00
"2015-08-01","9999",2015-08-01 12:13:24.589,True,,,,,
"2015-08-04","9998",,False,2015-08-04 16:53:00,44.0,67.0,True,2015-08-04 16:52:00
"2015-08-02","6789",2015-08-02 16:44:36.340,True,2015-08-02 23:30:00,52.0,57.0,True,2015-08-02 09:15:00
"2015-08-04","6789",2015-08-04 16:45:24.644,True,,,,,
"2015-08-07","41",2015-08-07 12:23:53.970,False,,,,,
"2015-08-07","42",2015-08-07 23:38:33.066,False,,,,,
"2015-08-08","38",2015-08-08 11:55:30.162,False,,,,,
